102 1684534805 0,000188 0,200000 0,000188 0,000188 0,000000
99 1684534805 0,092371 0,200000 0,092371 0,092371 0,001706
102 1684534806 0,000188 0,200000 0,000188 0,000188 0,000000
99 1684534806 0,092371 0,200000 0,092371 0,092371 0,001706
102 1684534807 0,000188 0,200000 0,000188 0,000188 0,000000
99 1684534807 0,092371 0,200000 0,092371 0,092371 0,001706
102 1684534808 0,000188 0,200000 0,000188 0,000188 0,000000
99 1684534808 0,092371 0,200000 0,092371 0,092371 0,001706
102 1684534809 0,000188 0,200000 0,000188 0,000188 0,000000
99 1684534809 0,092371 0,200000 0,092371 0,092371 0,001706
111 1684534810 0,101104 0,200000 0,101104 0,101104 0,002044
102 1684534810 0,000146 0,200000 0,000146 0,000146 0,000000
114 1684534810 0,147316 0,200000 0,147316 0,147316 0,004340
99 1684534810 0,091928 0,200000 0,091928 0,091928 0,001690
111 1684534811 0,101104 0,200000 0,101104 0,101104 0,002044
102 1684534811 0,000146 0,200000 0,000146 0,000146 0,000000
114 1684534811 0,147316 0,200000 0,147316 0,147316 0,004340
99 1684534811 0,091928 0,200000 0,091928 0,091928 0,001690
111 1684534812 0,101104 0,200000 0,101104 0,101104 0,002044
102 1684534812 0,000146 0,200000 0,000146 0,000146 0,000000
114 1684534812 0,147316 0,200000 0,147316 0,147316 0,004340
99 1684534812 0,091928 0,200000 0,091928 0,091928 0,001690
111 1684534813 0,101104 0,200000 0,101104 0,101104 0,002044
102 1684534813 0,000146 0,200000 0,000146 0,000146 0,000000
114 1684534813 0,147316 0,200000 0,147316 0,147316 0,004340
99 1684534813 0,091928 0,200000 0,091928 0,091928 0,001690
111 1684534814 0,101104 0,200000 0,101104 0,101104 0,002044
102 1684534814 0,000146 0,200000 0,000146 0,000146 0,000000
114 1684534814 0,147316 0,200000 0,147316 0,147316 0,004340
99 1684534814 0,091928 0,200000 0,091928 0,091928 0,001690
126 1684534815 0,097068 0,200000 0,097068 0,097068 0,001884
111 1684534815 0,105137 0,200000 0,105137 0,105137 0,002211
129 1684534815 0,053296 0,200000 0,053296 0,053296 0,000568
135 1684534815 0,104545 0,200000 0,104545 0,104545 0,002186
102 1684534815 0,000120 0,200000 0,000120 0,000120 0,000000
114 1684534815 0,112647 0,200000 0,112647 0,112647 0,002538
138 1684534815 0,138940 0,200000 0,138940 0,138940 0,003861
141 1684534815 10,657095 0,200000 10,657095 10,657095 22,714736
132 1684534815 10,657186 0,200000 10,657186 10,657186 22,715124
99 1684534815 0,095122 0,200000 0,095122 0,095122 0,001810
126 1684534816 0,097068 0,200000 0,097068 0,097068 0,001884
111 1684534816 0,105137 0,200000 0,105137 0,105137 0,002211
129 1684534816 0,053296 0,200000 0,053296 0,053296 0,000568
135 1684534816 0,104545 0,200000 0,104545 0,104545 0,002186
102 1684534816 0,000120 0,200000 0,000120 0,000120 0,000000
114 1684534816 0,112647 0,200000 0,112647 0,112647 0,002538
138 1684534816 0,138940 0,200000 0,138940 0,138940 0,003861
141 1684534816 10,657095 0,200000 10,657095 10,657095 22,714736
132 1684534816 10,657186 0,200000 10,657186 10,657186 22,715124
99 1684534816 0,095122 0,200000 0,095122 0,095122 0,001810
126 1684534817 0,097068 0,200000 0,097068 0,097068 0,001884
111 1684534817 0,105137 0,200000 0,105137 0,105137 0,002211
129 1684534817 0,053296 0,200000 0,053296 0,053296 0,000568
135 1684534817 0,104545 0,200000 0,104545 0,104545 0,002186
102 1684534817 0,000120 0,200000 0,000120 0,000120 0,000000
114 1684534817 0,112647 0,200000 0,112647 0,112647 0,002538
138 1684534817 0,138940 0,200000 0,138940 0,138940 0,003861
141 1684534817 10,657095 0,200000 10,657095 10,657095 22,714736
132 1684534817 10,657186 0,200000 10,657186 10,657186 22,715124
99 1684534817 0,095122 0,200000 0,095122 0,095122 0,001810
126 1684534818 0,097068 0,200000 0,097068 0,097068 0,001884
111 1684534818 0,105137 0,200000 0,105137 0,105137 0,002211
129 1684534818 0,053296 0,200000 0,053296 0,053296 0,000568
135 1684534818 0,104545 0,200000 0,104545 0,104545 0,002186
102 1684534818 0,000120 0,200000 0,000120 0,000120 0,000000
114 1684534818 0,112647 0,200000 0,112647 0,112647 0,002538
138 1684534818 0,138940 0,200000 0,138940 0,138940 0,003861
141 1684534818 10,657095 0,200000 10,657095 10,657095 22,714736
132 1684534818 10,657186 0,200000 10,657186 10,657186 22,715124
99 1684534818 0,095122 0,200000 0,095122 0,095122 0,001810
126 1684534819 0,097068 0,200000 0,097068 0,097068 0,001884
111 1684534819 0,105137 0,200000 0,105137 0,105137 0,002211
129 1684534819 0,053296 0,200000 0,053296 0,053296 0,000568
135 1684534819 0,104545 0,200000 0,104545 0,104545 0,002186
102 1684534819 0,000120 0,200000 0,000120 0,000120 0,000000
114 1684534819 0,112647 0,200000 0,112647 0,112647 0,002538
138 1684534819 0,138940 0,200000 0,138940 0,138940 0,003861
141 1684534819 10,657095 0,200000 10,657095 10,657095 22,714736
132 1684534819 10,657186 0,200000 10,657186 10,657186 22,715124
99 1684534819 0,095122 0,200000 0,095122 0,095122 0,001810
144 1684534820 5,535964 0,200000 5,535964 5,535964 6,129378
126 1684534820 0,093928 0,200000 0,093928 0,093928 0,001764
129 1684534820 0,052742 0,200000 0,052742 0,052742 0,000556
102 1684534820 0,000191 0,200000 0,000191 0,000191 0,000000
150 1684534820 0,048085 0,200000 0,048085 0,048085 0,000462
138 1684534820 0,085911 0,200000 0,085911 0,085911 0,001476
147 1684534820 0,190074 0,200000 0,190074 0,190074 0,007226
132 1684534820 5,536054 0,200000 5,536054 5,536054 6,129578
99 1684534820 0,092844 0,200000 0,092844 0,092844 0,001724
126 1684534821 0,093928 0,200000 0,093928 0,093928 0,001764
129 1684534821 0,052742 0,200000 0,052742 0,052742 0,000556
132 1684534821 5,536054 0,200000 5,536054 5,536054 6,129578
99 1684534821 0,092844 0,200000 0,092844 0,092844 0,001724
138 1684534821 0,085911 0,200000 0,085911 0,085911 0,001476
144 1684534821 5,535964 0,200000 5,535964 5,535964 6,129378
102 1684534821 0,000191 0,200000 0,000191 0,000191 0,000000
150 1684534821 0,048085 0,200000 0,048085 0,048085 0,000462
147 1684534821 0,190074 0,200000 0,190074 0,190074 0,007226
144 1684534822 5,535964 0,200000 5,535964 5,535964 6,129378
126 1684534822 0,093928 0,200000 0,093928 0,093928 0,001764
129 1684534822 0,052742 0,200000 0,052742 0,052742 0,000556
102 1684534822 0,000191 0,200000 0,000191 0,000191 0,000000
150 1684534822 0,048085 0,200000 0,048085 0,048085 0,000462
138 1684534822 0,085911 0,200000 0,085911 0,085911 0,001476
147 1684534822 0,190074 0,200000 0,190074 0,190074 0,007226
132 1684534822 5,536054 0,200000 5,536054 5,536054 6,129578
99 1684534822 0,092844 0,200000 0,092844 0,092844 0,001724
144 1684534823 5,535964 0,200000 5,535964 5,535964 6,129378
126 1684534823 0,093928 0,200000 0,093928 0,093928 0,001764
129 1684534823 0,052742 0,200000 0,052742 0,052742 0,000556
102 1684534823 0,000191 0,200000 0,000191 0,000191 0,000000
150 1684534823 0,048085 0,200000 0,048085 0,048085 0,000462
138 1684534823 0,085911 0,200000 0,085911 0,085911 0,001476
147 1684534823 0,190074 0,200000 0,190074 0,190074 0,007226
132 1684534823 5,536054 0,200000 5,536054 5,536054 6,129578
99 1684534823 0,092844 0,200000 0,092844 0,092844 0,001724
144 1684534824 5,535964 0,200000 5,535964 5,535964 6,129378
126 1684534824 0,093928 0,200000 0,093928 0,093928 0,001764
129 1684534824 0,052742 0,200000 0,052742 0,052742 0,000556
102 1684534824 0,000191 0,200000 0,000191 0,000191 0,000000
150 1684534824 0,048085 0,200000 0,048085 0,048085 0,000462
138 1684534824 0,085911 0,200000 0,085911 0,085911 0,001476
147 1684534824 0,190074 0,200000 0,190074 0,190074 0,007226
132 1684534824 5,536054 0,200000 5,536054 5,536054 6,129578
99 1684534824 0,092844 0,200000 0,092844 0,092844 0,001724
159 1684534825 0,049292 0,200000 0,049292 0,049292 0,000486
111 1684534825 0,101590 0,200000 0,101590 0,101590 0,002064
102 1684534825 0,000147 0,200000 0,000147 0,000147 0,000000
156 1684534825 15,733707 0,200000 15,733707 15,733707 49,509910
138 1684534825 0,089991 0,200000 0,089991 0,089991 0,001620
162 1684534825 5,441568 0,200000 5,441568 5,441568 5,922132
153 1684534825 0,176651 0,400000 0,147398 0,205904 0,012825
132 1684534825 10,587740 0,400000 5,441664 15,733815 55,432929
99 1684534825 0,091784 0,200000 0,091784 0,091784 0,001685
111 1684534826 0,101590 0,200000 0,101590 0,101590 0,002064
132 1684534826 10,587740 0,400000 5,441664 15,733815 55,432929
99 1684534826 0,091784 0,200000 0,091784 0,091784 0,001685
153 1684534826 0,176651 0,400000 0,147398 0,205904 0,012825
156 1684534826 15,733707 0,200000 15,733707 15,733707 49,509910
159 1684534826 0,049292 0,200000 0,049292 0,049292 0,000486
138 1684534826 0,089991 0,200000 0,089991 0,089991 0,001620
102 1684534826 0,000147 0,200000 0,000147 0,000147 0,000000
162 1684534826 5,441568 0,200000 5,441568 5,441568 5,922132
159 1684534827 0,049292 0,200000 0,049292 0,049292 0,000486
111 1684534827 0,101590 0,200000 0,101590 0,101590 0,002064
102 1684534827 0,000147 0,200000 0,000147 0,000147 0,000000
156 1684534827 15,733707 0,200000 15,733707 15,733707 49,509910
138 1684534827 0,089991 0,200000 0,089991 0,089991 0,001620
162 1684534827 5,441568 0,200000 5,441568 5,441568 5,922132
153 1684534827 0,176651 0,400000 0,147398 0,205904 0,012825
132 1684534827 10,587740 0,400000 5,441664 15,733815 55,432929
99 1684534827 0,091784 0,200000 0,091784 0,091784 0,001685
159 1684534828 0,049292 0,200000 0,049292 0,049292 0,000486
111 1684534828 0,101590 0,200000 0,101590 0,101590 0,002064
102 1684534828 0,000147 0,200000 0,000147 0,000147 0,000000
156 1684534828 15,733707 0,200000 15,733707 15,733707 49,509910
138 1684534828 0,089991 0,200000 0,089991 0,089991 0,001620
162 1684534828 5,441568 0,200000 5,441568 5,441568 5,922132
153 1684534828 0,176651 0,400000 0,147398 0,205904 0,012825
132 1684534828 10,587740 0,400000 5,441664 15,733815 55,432929
99 1684534828 0,091784 0,200000 0,091784 0,091784 0,001685
159 1684534829 0,049292 0,200000 0,049292 0,049292 0,000486
111 1684534829 0,101590 0,200000 0,101590 0,101590 0,002064
102 1684534829 0,000147 0,200000 0,000147 0,000147 0,000000
156 1684534829 15,733707 0,200000 15,733707 15,733707 49,509910
138 1684534829 0,089991 0,200000 0,089991 0,089991 0,001620
162 1684534829 5,441568 0,200000 5,441568 5,441568 5,922132
153 1684534829 0,176651 0,400000 0,147398 0,205904 0,012825
132 1684534829 10,587740 0,400000 5,441664 15,733815 55,432929
99 1684534829 0,091784 0,200000 0,091784 0,091784 0,001685
111 1684534830 0,100838 0,200000 0,100838 0,100838 0,002034
165 1684534830 5,298001 0,200000 5,298001 5,298001 5,613763
102 1684534830 0,000211 0,200000 0,000211 0,000211 0,000000
138 1684534830 0,096197 0,200000 0,096197 0,096197 0,001851
132 1684534830 5,298094 0,200000 5,298094 5,298094 5,613960
99 1684534830 0,092802 0,400000 0,092268 0,093336 0,003445
132 1684534831 5,298094 0,200000 5,298094 5,298094 5,613960
99 1684534831 0,092802 0,400000 0,092268 0,093336 0,003445
138 1684534831 0,096197 0,200000 0,096197 0,096197 0,001851
111 1684534831 0,100838 0,200000 0,100838 0,100838 0,002034
165 1684534831 5,298001 0,200000 5,298001 5,298001 5,613763
102 1684534831 0,000211 0,200000 0,000211 0,000211 0,000000
111 1684534832 0,100838 0,200000 0,100838 0,100838 0,002034
165 1684534832 5,298001 0,200000 5,298001 5,298001 5,613763
102 1684534832 0,000211 0,200000 0,000211 0,000211 0,000000
138 1684534832 0,096197 0,200000 0,096197 0,096197 0,001851
132 1684534832 5,298094 0,200000 5,298094 5,298094 5,613960
99 1684534832 0,092802 0,400000 0,092268 0,093336 0,003445
111 1684534833 0,100838 0,200000 0,100838 0,100838 0,002034
165 1684534833 5,298001 0,200000 5,298001 5,298001 5,613763
102 1684534833 0,000211 0,200000 0,000211 0,000211 0,000000
138 1684534833 0,096197 0,200000 0,096197 0,096197 0,001851
