87 1684295884 0,200000 -1,000000 -101,000000 0,000000 0,000000
87 1684295885 0,200000 -1,000000 -101,000000 0,000000 0,000000
87 1684295886 0,200000 -1,000000 -101,000000 0,000000 0,000000
87 1684295887 0,200000 -1,000000 -101,000000 0,000000 0,000000
87 1684295888 0,200000 -1,000000 -101,000000 0,000000 0,000000
87 1684296298 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296297 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296296 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296295 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296294 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296248 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296247 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296246 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296245 0,200000 -1,000000 0,200000 0,200000 0,008000
87 1684296244 0,200000 -1,000000 0,200000 0,200000 0,008000
